seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
1,100,12,1,gaussian,admm,0.05,True,0.7333333333333333,0.5,0.9785714285714285,0.7059859154929577,0.005044700897810728,0.6526526669986197
1,100,12,1,student_t,admm,0.0,True,0.7333333333333333,0.5,0.9714285714285714,0.75,0.004323588715131166,0.42409441700147
1,100,12,1,student_t,admm,0.05,True,0.7333333333333333,0.5,0.9839285714285714,0.727112676056338,0.004172088411356967,0.3732133329976932
2,100,12,1,gaussian,lbfgs_smooth,0.0,True,1.0,0.5,0.5696428571428571,0.7570422535211268,0.006954345865850087,0.31127166700025555
2,100,12,1,gaussian,lbfgs_smooth,0.05,True,1.0,0.5,0.5767857142857142,0.7570422535211268,0.006953408507417436,0.29373779199522687
2,100,12,1,student_t,lbfgs_smooth,0.0,True,1.0,0.5,0.7642857142857142,0.8345070422535211,0.005977026198280555,0.2713166670000646
2,100,12,1,student_t,lbfgs_smooth,0.05,True,1.0,0.5,0.7607142857142857,0.8345070422535211,0.005979567254392748,0.28644741699827136
2,100,12,1,gaussian,admm,0.0,True,1.0,0.5,0.8785714285714286,0.6690140845070423,0.004483036788061057,0.2888769589990261
2,100,12,1,gaussian,admm,0.05,True,1.0,0.5,0.9571428571428572,0.4119718309859155,0.0043181595936818695,0.2937979999987874
2,100,12,1,student_t,admm,0.0,True,1.0,0.5,0.9696428571428571,0.7746478873239436,0.0038327712454400142,0.29369183399830945
2,100,12,1,student_t,admm,0.05,True,1.0,0.5,0.9910714285714286,0.45422535211267606,0.003457295817144157,0.3368925000031595
3,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.7058823529411765,0.5,0.4446428571428571,0.36971830985915494,0.0067385822407501905,0.26063154200528516
3,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.7058823529411765,0.5,0.44642857142857145,0.36971830985915494,0.00673556593439173,0.26880804199754493
3,100,12,1,student_t,lbfgs_smooth,0.0,True,0.7058823529411765,0.5,0.4714285714285714,0.323943661971831,0.006114193259914913,0.2676499589942978
3,100,12,1,student_t,lbfgs_smooth,0.05,True,0.7058823529411765,0.5,0.475,0.323943661971831,0.006107373692044504,0.26698641599796247
3,100,12,1,gaussian,admm,0.0,True,0.7058823529411765,0.5,0.7517857142857143,0.49471830985915494,0.004406314604898043,0.30794937499740627
3,100,12,1,gaussian,admm,0.05,True,0.7058823529411765,0.5,0.7616071428571428,0.6866197183098591,0.003959351720109083,0.3505974169966066
3,100,12,1,student_t,admm,0.0,True,0.7058823529411765,0.5,0.6955357142857143,0.5440140845070423,0.003692719120966359,0.30769983299978776
3,100,12,1,student_t,admm,0.05,True,0.7058823529411765,0.5,0.8464285714285714,0.721830985915493,0.003486452677478269,0.30089474999840604
4,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.7777777777777778,0.5,0.3267857142857143,0.5140845070422535,0.006872995596385323,0.25606033299845876
4,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.7777777777777778,0.5,0.3267857142857143,0.5211267605633803,0.006864866463416774,0.2759401670045918
4,100,12,1,student_t,lbfgs_smooth,0.0,True,0.7777777777777778,0.5,0.4017857142857143,0.5211267605633803,0.006108374894491675,0.2721658330046921
4,100,12,1,student_t,lbfgs_smooth,0.05,True,0.7777777777777778,0.5,0.4107142857142857,0.5176056338028169,0.006130656650245925,0.2480983749992447
